date,cases,tests,deaths,deaths_calcat
2020-05-01,112,2508,6,5
2020-05-02,53,1077,5,2
2020-05-03,60,768,3,0
2020-05-04,154,2020,3,5
2020-05-05,106,1996,3,4
2020-05-06,175,2136,7,4
2020-05-07,147,2115,7,1
2020-05-08,185,2616,2,5
2020-05-09,80,1087,7,3
2020-05-10,40,970,2,2
2020-05-11,133,2566,4,0
2020-05-12,124,2507,0,1
2020-05-13,136,2538,2,3
2020-05-14,120,1797,6,0
2020-05-15,166,2317,4,4
2020-05-16,111,1313,2,2
2020-05-17,50,923,7,2
2020-05-18,196,3047,9,0
2020-05-19,148,2981,2,0
2020-05-20,190,3672,9,10
2020-05-21,169,3316,6,14
2020-05-22,162,3608,5,6
2020-05-23,101,1637,8,9
2020-05-24,78,1463,4,1
2020-05-25,70,1280,5,0
2020-05-26,253,4438,10,0
2020-05-27,212,4235,2,5
2020-05-28,236,4221,8,6
2020-05-29,165,3903,6,3
2020-05-30,124,1922,6,1
2020-05-31,104,1530,8,1
2020-06-01,186,3505,12,0
2020-06-02,216,5191,9,3
2020-06-03,229,4614,4,9
2020-06-04,219,4270,5,6
2020-06-05,216,4254,6,9
2020-06-06,142,2426,4,2
2020-06-07,115,1905,10,1
2020-06-08,239,4334,11,0
2020-06-09,220,5464,10,8
2020-06-10,263,5392,6,14
2020-06-11,298,4964,6,3
2020-06-12,276,4474,9,8
2020-06-13,218,2514,6,7
2020-06-14,134,1586,6,4
2020-06-15,354,5078,7,0
2020-06-16,567,6426,5,11
2020-06-17,544,6018,5,10
2020-06-18,635,6233,9,5
2020-06-19,668,6280,11,7
2020-06-20,456,3525,6,10
2020-06-21,269,1968,6,2
2020-06-22,848,6777,14,0
2020-06-23,996,7564,8,4
2020-06-24,1025,8203,16,26
2020-06-25,989,7446,8,8
2020-06-26,972,7484,8,21
2020-06-27,638,4069,5,1
2020-06-28,448,2710,16,3
2020-06-29,1059,7973,9,4
2020-06-30,1057,7881,14,10
2020-07-01,969,7868,9,6
2020-07-02,912,8402,8,9
2020-07-03,759,5617,9,6
2020-07-04,359,1973,11,3
2020-07-05,419,2794,11,3
2020-07-06,1027,8273,12,0
2020-07-07,1027,8780,17,3
2020-07-08,996,9764,15,8
2020-07-09,925,7936,9,24
2020-07-10,951,7991,8,10
2020-07-11,553,3848,18,9
2020-07-12,360,2815,10,2
2020-07-13,829,8072,12,1
2020-07-14,810,7912,8,9
2020-07-15,842,9168,16,20
2020-07-16,825,8195,13,11
2020-07-17,730,7991,10,4
2020-07-18,403,3713,13,22
2020-07-19,297,2808,15,0
2020-07-20,525,6827,11,1
2020-07-21,559,6897,15,22
2020-07-22,502,7841,13,9
2020-07-23,438,6547,11,20
2020-07-24,469,5800,17,11
2020-07-25,294,3291,11,5
2020-07-26,222,2444,11,3
2020-07-27,499,6731,15,2
2020-07-28,457,7228,12,14
2020-07-29,534,8621,5,7
2020-07-30,447,6994,14,20
2020-07-31,445,6314,20,13
2020-08-01,265,3776,16,29
2020-08-02,192,2987,12,2
2020-08-03,394,6724,19,0
2020-08-04,471,7694,13,2
2020-08-05,410,7944,14,11
2020-08-06,342,5781,18,31
2020-08-07,306,5811,13,7
2020-08-08,165,2905,11,16
2020-08-09,97,2455,18,6
2020-08-10,271,6188,13,0
2020-08-11,317,7275,13,11
2020-08-12,237,7455,11,10
2020-08-13,318,5974,16,23
2020-08-14,286,5173,15,20
2020-08-15,149,2898,13,21
2020-08-16,85,2473,12,1
2020-08-17,219,6395,16,0
2020-08-18,255,6739,11,5
2020-08-19,263,6923,10,18
2020-08-20,239,5270,8,23
2020-08-21,272,5295,9,25
2020-08-22,145,2863,10,14
2020-08-23,95,2365,1,1
2020-08-24,209,6182,12,0
2020-08-25,235,7162,13,15
2020-08-26,211,6924,9,7
2020-08-27,217,5207,12,27
2020-08-28,167,5265,9,8
2020-08-29,108,2681,4,19
2020-08-30,64,2280,6,4
2020-08-31,216,6037,10,1
2020-09-01,212,7075,10,8
2020-09-02,175,7364,3,19
2020-09-03,206,5731,6,11
2020-09-04,199,5783,8,24
2020-09-05,109,2597,10,9
2020-09-06,66,2115,8,2
2020-09-07,63,1852,2,0
2020-09-08,217,7813,5,3
2020-09-09,164,8192,2,9
2020-09-10,197,6818,2,4
2020-09-11,170,6849,5,12
2020-09-12,114,3014,10,11
2020-09-13,83,2113,7,0
2020-09-14,177,6590,6,0
2020-09-15,187,8151,10,12
2020-09-16,171,8272,8,6
2020-09-17,206,6843,8,4
2020-09-18,168,5658,5,8
2020-09-19,140,3387,10,4
2020-09-20,91,2474,9,1
2020-09-21,213,7282,6,0
2020-09-22,245,9279,8,22
2020-09-23,254,8985,2,26
2020-09-24,256,6875,4,6
2020-09-25,221,6422,11,22
2020-09-26,105,3619,5,10
2020-09-27,97,2819,9,1
2020-09-28,231,7112,5,0
2020-09-29,261,8217,5,33
2020-09-30,210,7898,5,18
2020-10-01,193,6187,12,7
2020-10-02,198,6731,6,6
2020-10-03,109,3308,6,5
2020-10-04,86,2451,8,0
2020-10-05,212,8834,8,0
2020-10-06,216,11269,3,2
2020-10-07,213,9659,4,3
2020-10-08,245,8232,5,14
2020-10-09,205,7856,6,10
2020-10-10,147,4197,2,25
2020-10-11,91,2867,5,1
2020-10-12,218,9493,5,0
2020-10-13,250,11075,0,0
2020-10-14,217,10263,4,19
2020-10-15,236,8242,3,31
2020-10-16,219,7581,1,10
2020-10-17,145,3847,2,8
2020-10-18,119,3089,1,0
2020-10-19,273,10447,3,1
2020-10-20,268,11144,3,2
2020-10-21,299,10154,4,10
2020-10-22,246,8804,6,12
2020-10-23,249,8038,3,6
2020-10-24,164,3873,8,6
2020-10-25,121,3048,4,3
2020-10-26,258,9691,0,0
2020-10-27,206,9809,3,7
2020-10-28,299,10119,2,13
2020-10-29,292,8391,3,2
2020-10-30,252,6068,3,7
2020-10-31,201,2116,4,7
2020-11-01,145,1521,3,1
2020-11-02,413,7083,3,0
2020-11-03,405,8190,1,2
2020-11-04,458,6850,2,7
2020-11-05,496,5809,2,3
2020-11-06,464,5526,3,4
2020-11-07,237,2070,0,4
2020-11-08,202,1755,3,7
2020-11-09,566,8024,4,0
2020-11-10,566,8962,5,3
2020-11-11,471,5767,5,2
2020-11-12,689,6401,4,6
2020-11-13,722,6340,2,2
2020-11-14,539,2839,6,3
2020-11-15,440,2136,11,2
2020-11-16,1036,9008,5,0
2020-11-17,1165,9749,9,0
2020-11-18,1147,9500,7,2
2020-11-19,1237,8381,8,9
2020-11-20,1292,8114,4,3
2020-11-21,785,3641,4,11
2020-11-22,705,2941,4,3
2020-11-23,1440,11002,3,0
2020-11-24,1620,11614,5,2
2020-11-25,1591,8021,9,4
2020-11-26,376,1574,9,11
2020-11-27,1230,4850,5,7
2020-11-28,1231,4017,12,0
2020-11-29,916,3085,12,0
2020-11-30,2185,11291,13,0
2020-12-01,2134,12396,6,0
2020-12-02,2286,11047,4,1
2020-12-03,2516,10116,12,9
2020-12-04,2594,9574,8,17
2020-12-05,1839,4751,11,15
2020-12-06,1198,3215,9,15
2020-12-07,3252,13097,17,0
2020-12-08,3402,13705,14,0
2020-12-09,3574,12544,12,0
2020-12-10,3273,10949,12,7
2020-12-11,3173,10108,17,22
2020-12-12,2115,5511,10,19
2020-12-13,1706,4012,24,14
2020-12-14,4176,14014,23,0
2020-12-15,4491,13827,17,1
2020-12-16,4193,12604,19,22
2020-12-17,4168,13308,23,13
2020-12-18,3739,11108,16,3
2020-12-19,2530,6626,21,26
2020-12-20,1597,3968,11,15
2020-12-21,3872,13342,19,2
2020-12-22,3858,12329,20,2
2020-12-23,3844,11324,13,3
2020-12-24,2337,6478,13,1
2020-12-25,760,1814,13,41
2020-12-26,2595,5551,18,22
2020-12-27,1633,3785,8,1
2020-12-28,4796,13724,10,0
2020-12-29,5140,14039,4,1
2020-12-30,4641,12226,3,27
2020-12-31,2881,8198,3,1
2021-01-01,1072,2497,3,27
2021-01-02,2939,6540,3,0
2021-01-03,1903,4825,2,0
2021-01-04,4554,15240,1,26
2021-01-05,4657,13949,0,0
2021-01-06,4374,12490,0,17
2021-01-07,4191,12617,0,29
2021-01-08,3322,9964,0,26
2021-01-09,1868,4558,0,43
2021-01-10,1212,3210,0,50
2021-01-11,3190,12570,0,29
2021-01-12,3087,11801,0,0
2021-01-13,2625,9504,0,0
2021-01-14,2296,8725,0,0
2021-01-15,1689,6725,0,0
2021-01-16,406,1237,0,0
2021-01-17,129,346,0,0
